Date,KOSPI_Close,KOSPI_Open,KOSPI_High,KOSPI_Low,KOSPI_Volume,NASDAQ_Close,US10Y_Yield,VIX_Close,USD_KRW
2010-01-04,1696.1400146484375,1681.7099609375,1696.1400146484375,1681.7099609375,296500,2308.419921875,3.8410000801086426,20.040000915527344,1132.4000244140625
2010-01-05,1690.6199951171875,1701.6199951171875,1702.3900146484375,1686.449951171875,408900,2308.419921875,3.8410000801086426,20.040000915527344,1132.4000244140625
2010-01-06,1705.3199462890625,1697.8800048828125,1706.8900146484375,1696.0999755859375,426000,2308.7099609375,3.755000114440918,19.350000381469727,1141.300048828125
2010-01-07,1683.449951171875,1702.9200439453125,1707.9000244140625,1683.449951171875,462400,2301.090087890625,3.808000087738037,19.15999984741211,1130.4000244140625
2010-01-08,1695.260009765625,1694.06005859375,1695.260009765625,1668.8399658203125,380000,2300.050048828125,3.822000026702881,19.059999465942383,1134.9000244140625
2010-01-11,1694.1199951171875,1700.7900390625,1705.72998046875,1694.1199951171875,407700,2300.050048828125,3.822000026702881,19.059999465942383,1134.9000244140625
2010-01-12,1698.6400146484375,1695.8299560546875,1701.1600341796875,1683.2900390625,383800,2312.409912109375,3.818000078201294,17.549999237060547,1121.300048828125
2010-01-13,1671.4100341796875,1683.510009765625,1687.5799560546875,1671.1099853515625,361900,2282.31005859375,3.7190001010894775,18.25,1123.5999755859375
2010-01-14,1685.77001953125,1680.6800537109375,1692.780029296875,1677.4599609375,433800,2307.89990234375,3.7829999923706055,17.850000381469727,1119.5
2010-01-15,1701.800048828125,1694.6500244140625,1704.4300537109375,1686.1199951171875,415900,2316.739990234375,3.7339999675750732,17.6299991607666,1120.699951171875
2010-01-18,1711.780029296875,1696.1400146484375,1716.6199951171875,1688.8900146484375,420800,2316.739990234375,3.7339999675750732,17.6299991607666,1120.699951171875
2010-01-19,1710.219970703125,1719.4100341796875,1723.219970703125,1706.72998046875,384400,2316.739990234375,3.7339999675750732,17.6299991607666,1122.300048828125
2010-01-20,1714.3800048828125,1723.010009765625,1723.010009765625,1708.5799560546875,695700,2320.39990234375,3.7070000171661377,17.579999923706055,1128.0999755859375
2010-01-21,1722.010009765625,1700.530029296875,1722.010009765625,1695.1800537109375,543500,2291.25,3.6589999198913574,18.68000030517578,1132.199951171875
2010-01-22,1684.3499755859375,1696.2099609375,1706.0899658203125,1665.5999755859375,615100,2265.699951171875,3.6110000610351562,22.270000457763672,1142.0999755859375
2010-01-25,1670.199951171875,1662.77001953125,1681.8299560546875,1660.5799560546875,585000,2265.699951171875,3.6110000610351562,22.270000457763672,1142.0999755859375
2010-01-26,1637.3399658203125,1670.469970703125,1671.6600341796875,1626.97998046875,576900,2210.800048828125,3.630000114440918,25.40999984741211,1130.800048828125
2010-01-27,1625.47998046875,1641.8800048828125,1643.6400146484375,1620.550048828125,446500,2203.72998046875,3.630000114440918,24.549999237060547,1159.5999755859375
2010-01-28,1642.4300537109375,1632.5799560546875,1649.4599609375,1619.260009765625,479600,2221.409912109375,3.6440000534057617,23.139999389648438,1163.800048828125
2010-01-29,1602.4300537109375,1621.0,1626.5699462890625,1595.3900146484375,473900,2179.0,3.6579999923706055,23.729999542236328,1153.0999755859375
2010-02-01,1606.43994140625,1603.8699951171875,1611.989990234375,1590.800048828125,382200,2179.0,3.6579999923706055,23.729999542236328,1153.0999755859375
2010-02-02,1595.81005859375,1618.5999755859375,1618.5999755859375,1591.239990234375,435000,2171.199951171875,3.6540000438690186,22.59000015258789,1163.199951171875
2010-02-03,1615.02001953125,1614.1600341796875,1618.8599853515625,1602.550048828125,438200,2190.06005859375,3.634999990463257,21.479999542236328,1157.4000244140625
2010-02-04,1616.4200439453125,1615.47998046875,1619.3699951171875,1607.8699951171875,396800,2190.909912109375,3.703000068664551,21.600000381469727,1148.4000244140625
2010-02-05,1567.1199951171875,1567.5899658203125,1575.1600341796875,1560.989990234375,460800,2125.429931640625,3.609999895095825,26.079999923706055,1147.0
2010-02-08,1552.7900390625,1565.239990234375,1566.300048828125,1548.780029296875,445700,2125.429931640625,3.609999895095825,26.079999923706055,1147.0
2010-02-09,1570.489990234375,1550.800048828125,1571.9599609375,1549.1099853515625,433900,2126.050048828125,3.5920000076293945,26.510000228881836,1173.4000244140625
2010-02-10,1570.1199951171875,1578.8299560546875,1581.56005859375,1565.7900390625,436100,2150.8701171875,3.632999897003174,26.0,1158.5
2010-02-11,1597.81005859375,1574.949951171875,1600.4100341796875,1574.77001953125,393800,2147.8701171875,3.694000005722046,25.399999618530273,1158.4000244140625
2010-02-12,1593.6600341796875,1595.949951171875,1598.4100341796875,1577.8900146484375,292300,2177.409912109375,3.7330000400543213,23.959999084472656,1152.5999755859375
2010-02-16,1601.050048828125,1589.969970703125,1608.8599853515625,1586.8699951171875,275300,2177.409912109375,3.7330000400543213,23.959999084472656,1146.4000244140625
2010-02-17,1627.4300537109375,1619.0400390625,1628.31005859375,1618.27001953125,383600,2214.18994140625,3.6640000343322754,22.25,1145.199951171875
2010-02-18,1621.18994140625,1630.8900146484375,1631.7099609375,1618.81005859375,314000,2226.2900390625,3.742000102996826,21.719999313354492,1147.5
2010-02-19,1593.9000244140625,1611.0899658203125,1623.25,1592.9200439453125,345800,2241.7099609375,3.802999973297119,20.6299991607666,1152.4000244140625
2010-02-22,1627.0999755859375,1617.1600341796875,1630.510009765625,1617.1600341796875,307200,2241.7099609375,3.802999973297119,20.6299991607666,1152.4000244140625
2010-02-23,1628.9000244140625,1626.75,1630.449951171875,1616.0400390625,352000,2242.030029296875,3.7990000247955322,19.940000534057617,1147.9000244140625
2010-02-24,1612.8299560546875,1616.550048828125,1618.4599609375,1606.239990234375,390700,2213.43994140625,3.690999984741211,21.3700008392334,1156.199951171875
2010-02-25,1587.510009765625,1620.25,1621.8399658203125,1582.219970703125,403200,2235.89990234375,3.694999933242798,20.270000457763672,1158.5999755859375
2010-02-26,1594.5799560546875,1593.72998046875,1596.550048828125,1580.699951171875,331800,2234.219970703125,3.6419999599456787,20.100000381469727,1161.0999755859375
2010-03-02,1615.1199951171875,1612.4300537109375,1620.1500244140625,1608.969970703125,415100,2273.570068359375,3.6059999465942383,19.260000228881836,1148.0
2010-03-03,1622.43994140625,1615.25,1622.6300048828125,1611.3499755859375,403500,2280.7900390625,3.614000082015991,19.059999465942383,1142.0999755859375
2010-03-04,1618.199951171875,1625.3499755859375,1631.0999755859375,1612.469970703125,383000,2280.679931640625,3.625,18.829999923706055,1143.199951171875
2010-03-05,1634.5699462890625,1624.800048828125,1634.5699462890625,1624.739990234375,344100,2292.31005859375,3.6059999465942383,18.719999313354492,1143.5
2010-03-08,1660.0400390625,1653.5400390625,1660.280029296875,1649.6700439453125,367800,2292.31005859375,3.6059999465942383,18.719999313354492,1143.5
2010-03-09,1660.8299560546875,1657.93994140625,1661.260009765625,1653.97998046875,634700,2332.2099609375,3.7079999446868896,17.790000915527344,1131.300048828125
